Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 1024 0 1024
I am writing output_source
I am total square differences: 0.00552427
Step 2, Diff=0.00308575
Step 231, Diff=8.23223e-05
Step 232, Diff=8.20537e-05
Step 233, Diff=8.17872e-05
Step 234, Diff=8.15226e-05
Step 235, Diff=8.126e-05
Step 236, Diff=8.09994e-05
Step 237, Diff=8.07407e-05
Step 238, Diff=8.04839e-05
Step 239, Diff=8.0229e-05
Step 240, Diff=7.9976e-05
Step 241, Diff=7.97248e-05
Step 242, Diff=7.94754e-05
Step 243, Diff=7.92278e-05
Step 244, Diff=7.8982e-05
Step 245, Diff=7.8738e-05
Step 246, Diff=7.84956e-05
Step 247, Diff=7.82551e-05
Step 248, Diff=7.80162e-05
Step 249, Diff=7.7779e-05
Step 250, Diff=7.75435e-05
Step 251, Diff=7.73096e-05
Step 252, Diff=7.70773e-05
Step 253, Diff=7.68466e-05
Step 254, Diff=7.66176e-05
Step 255, Diff=7.63901e-05
Step 256, Diff=7.61642e-05
Step 257, Diff=7.59398e-05
Step 258, Diff=7.57169e-05
Step 259, Diff=7.54956e-05
Step 260, Diff=7.52757e-05
Step 261, Diff=7.50574e-05
Step 262, Diff=7.48404e-05
Step 263, Diff=7.4625e-05
Step 264, Diff=7.44109e-05
Step 265, Diff=7.41983e-05
Step 266, Diff=7.39871e-05
Step 267, Diff=7.37773e-05
Step 268, Diff=7.35688e-05
Step 269, Diff=7.33617e-05
Step 270, Diff=7.31559e-05
Step 271, Diff=7.29515e-05
Step 272, Diff=7.27484e-05
Step 273, Diff=7.25466e-05
Step 274, Diff=7.23461e-05
Step 275, Diff=7.21469e-05
Step 276, Diff=7.19489e-05
Step 277, Diff=7.17522e-05
Step 278, Diff=7.15567e-05
Step 279, Diff=7.13625e-05
Step 280, Diff=7.11694e-05
Step 281, Diff=7.09776e-05
Step 282, Diff=7.0787e-05
Step 283, Diff=7.05975e-05
Step 284, Diff=7.04093e-05
Step 285, Diff=7.02221e-05
Step 286, Diff=7.00362e-05
Step 287, Diff=6.98513e-05
Step 288, Diff=6.96676e-05
Step 289, Diff=6.9485e-05
Step 290, Diff=6.93035e-05
Step 291, Diff=6.91232e-05
Step 292, Diff=6.89438e-05
Step 293, Diff=6.87656e-05
Step 294, Diff=6.85884e-05
Step 295, Diff=6.84123e-05
Step 296, Diff=6.82372e-05
Step 297, Diff=6.80632e-05
Step 298, Diff=6.78902e-05
Step 299, Diff=6.77181e-05
Step 300, Diff=6.75471e-05
Step 301, Diff=6.73771e-05
Step 302, Diff=6.72081e-05
Step 303, Diff=6.70401e-05
Step 304, Diff=6.6873e-05
Step 305, Diff=6.67069e-05
Step 306, Diff=6.65417e-05
Step 307, Diff=6.63775e-05
Step 308, Diff=6.62142e-05
Step 309, Diff=6.60519e-05
Step 310, Diff=6.58905e-05
Step 311, Diff=6.57299e-05
Step 312, Diff=6.55703e-05
Step 313, Diff=6.54116e-05
Step 314, Diff=6.52537e-05
Step 315, Diff=6.50968e-05
Step 316, Diff=6.49407e-05
Step 317, Diff=6.47855e-05
Step 318, Diff=6.46311e-05
Step 319, Diff=6.44776e-05
Step 320, Diff=6.43249e-05
Step 321, Diff=6.4173e-05
Step 322, Diff=6.4022e-05
Step 323, Diff=6.38718e-05
Step 324, Diff=6.37224e-05
Step 325, Diff=6.35738e-05
Step 326, Diff=6.34261e-05
Step 327, Diff=6.32791e-05
Step 328, Diff=6.31329e-05
Step 329, Diff=6.29874e-05
Step 330, Diff=6.28428e-05
Step 331, Diff=6.26989e-05
Step 332, Diff=6.25558e-05
Step 333, Diff=6.24134e-05
Step 334, Diff=6.22718e-05
Step 335, Diff=6.21309e-05
Step 336, Diff=6.19908e-05
Step 337, Diff=6.18513e-05
Step 338, Diff=6.17126e-05
Step 339, Diff=6.15747e-05
Step 340, Diff=6.14374e-05
Step 341, Diff=6.13008e-05
Step 342, Diff=6.1165e-05
Step 343, Diff=6.10298e-05
Step 344, Diff=6.08953e-05
Step 345, Diff=6.07616e-05
Step 346, Diff=6.06284e-05
Step 347, Diff=6.0496e-05
Step 348, Diff=6.03642e-05
Step 349, Diff=6.02331e-05
Step 350, Diff=6.01027e-05
Step 351, Diff=5.99729e-05
Step 352, Diff=5.98437e-05
Step 353, Diff=5.97152e-05
Step 354, Diff=5.95873e-05
Step 355, Diff=5.94601e-05
Step 356, Diff=5.93334e-05
Step 357, Diff=5.92074e-05
Step 358, Diff=5.90821e-05
Step 359, Diff=5.89573e-05
Step 360, Diff=5.88331e-05
Step 361, Diff=5.87096e-05
Step 362, Diff=5.85866e-05
Step 363, Diff=5.84642e-05
Step 364, Diff=5.83425e-05
Step 365, Diff=5.82213e-05
Step 366, Diff=5.81007e-05
Step 367, Diff=5.79806e-05
Step 368, Diff=5.78612e-05
Step 369, Diff=5.77423e-05
Step 370, Diff=5.7624e-05
Step 371, Diff=5.75062e-05
Step 372, Diff=5.7389e-05
Step 373, Diff=5.72723e-05
Step 374, Diff=5.71562e-05
Step 375, Diff=5.70406e-05
Step 376, Diff=5.69256e-05
Step 377, Diff=5.68111e-05
Step 378, Diff=5.66971e-05
Step 379, Diff=5.65837e-05
Step 380, Diff=5.64708e-05
Step 381, Diff=5.63584e-05
Step 382, Diff=5.62465e-05
Step 383, Diff=5.61351e-05
Step 384, Diff=5.60242e-05
Step 385, Diff=5.59139e-05
Step 386, Diff=5.5804e-05
Step 387, Diff=5.56947e-05
Step 388, Diff=5.55858e-05
Step 389, Diff=5.54774e-05
Step 390, Diff=5.53696e-05
Step 391, Diff=5.52622e-05
Step 392, Diff=5.51552e-05
Step 393, Diff=5.50488e-05
Step 394, Diff=5.49428e-05
Step 395, Diff=5.48373e-05
Step 396, Diff=5.47323e-05
Step 397, Diff=5.46277e-05
Step 398, Diff=5.45236e-05
Step 399, Diff=5.442e-05
Step 400, Diff=5.43168e-05
Step 401, Diff=5.4214e-05
Step 402, Diff=5.41117e-05
Step 403, Diff=5.40099e-05
Step 404, Diff=5.39085e-05
Step 405, Diff=5.38075e-05
Step 406, Diff=5.3707e-05
Step 407, Diff=5.36069e-05
Step 408, Diff=5.35072e-05
Step 409, Diff=5.3408e-05
Step 410, Diff=5.33091e-05
Step 411, Diff=5.32107e-05
Step 412, Diff=5.31128e-05
Step 413, Diff=5.30152e-05
Step 414, Diff=5.29181e-05
Step 415, Diff=5.28213e-05
Step 416, Diff=5.2725e-05
Step 417, Diff=5.26291e-05
Step 418, Diff=5.25335e-05
Step 419, Diff=5.24384e-05
Step 420, Diff=5.23437e-05
Step 421, Diff=5.22494e-05
Step 422, Diff=5.21554e-05
Step 423, Diff=5.20619e-05
Step 424, Diff=5.19687e-05
Step 425, Diff=5.18759e-05
Step 426, Diff=5.17835e-05
Step 427, Diff=5.16915e-05
Step 428, Diff=5.15999e-05
Step 429, Diff=5.15086e-05
Step 430, Diff=5.14177e-05
Step 431, Diff=5.13272e-05
Step 432, Diff=5.1237e-05
Step 433, Diff=5.11473e-05
Step 434, Diff=5.10578e-05
Step 435, Diff=5.09688e-05
Step 436, Diff=5.08801e-05
Step 437, Diff=5.07917e-05
Step 438, Diff=5.07037e-05
Step 439, Diff=5.06161e-05
Step 440, Diff=5.05288e-05
Step 441, Diff=5.04418e-05
Step 442, Diff=5.03552e-05
Step 443, Diff=5.02689e-05
Step 444, Diff=5.0183e-05
Step 445, Diff=5.00974e-05
Step 446, Diff=5.00122e-05
Step 447, Diff=4.99273e-05
Step 448, Diff=4.98427e-05
Step 449, Diff=4.97584e-05
Step 450, Diff=4.96745e-05
Step 451, Diff=4.95909e-05
Step 452, Diff=4.95076e-05
Step 453, Diff=4.94247e-05
Step 454, Diff=4.93421e-05
Step 455, Diff=4.92598e-05
Step 456, Diff=4.91778e-05
Step 457, Diff=4.90961e-05
Step 458, Diff=4.90147e-05
Step 459, Diff=4.89337e-05
Step 460, Diff=4.88529e-05
Step 461, Diff=4.87725e-05
Step 462, Diff=4.86923e-05
Step 463, Diff=4.86125e-05
Step 464, Diff=4.8533e-05
Step 465, Diff=4.84538e-05
Step 466, Diff=4.83748e-05
Step 467, Diff=4.82962e-05
Step 468, Diff=4.82179e-05
Step 469, Diff=4.81398e-05
Step 470, Diff=4.80621e-05
Step 471, Diff=4.79846e-05
Step 472, Diff=4.79074e-05
Step 473, Diff=4.78305e-05
Step 474, Diff=4.77539e-05
Step 475, Diff=4.76776e-05
Step 476, Diff=4.76016e-05
Step 477, Diff=4.75258e-05
Step 478, Diff=4.74503e-05
Step 479, Diff=4.73751e-05
Step 480, Diff=4.73002e-05
Step 481, Diff=4.72255e-05
Step 482, Diff=4.71511e-05
Step 483, Diff=4.7077e-05
Step 484, Diff=4.70031e-05
Step 485, Diff=4.69296e-05
Step 486, Diff=4.68562e-05
Step 487, Diff=4.67832e-05
Step 488, Diff=4.67104e-05
Step 489, Diff=4.66379e-05
Step 490, Diff=4.65656e-05
Step 491, Diff=4.64936e-05
Step 492, Diff=4.64218e-05
Step 493, Diff=4.63503e-05
Step 494, Diff=4.62791e-05
Step 495, Diff=4.62081e-05
Step 496, Diff=4.61373e-05
Step 497, Diff=4.60668e-05
Step 498, Diff=4.59966e-05
Step 499, Diff=4.59266e-05
Step 500, Diff=4.58568e-05
Step 501, Diff=4.57873e-05
Step 502, Diff=4.57181e-05
Step 503, Diff=4.5649e-05
Step 504, Diff=4.55803e-05
Step 505, Diff=4.55117e-05
Step 506, Diff=4.54434e-05
Step 507, Diff=4.53753e-05
Step 508, Diff=4.53075e-05
Step 509, Diff=4.52399e-05
Step 510, Diff=4.51725e-05
Step 511, Diff=4.51054e-05
Step 512, Diff=4.50385e-05
Step 513, Diff=4.49718e-05
Step 514, Diff=4.49053e-05
Step 515, Diff=4.48391e-05
Step 516, Diff=4.47731e-05
Step 517, Diff=4.47073e-05
Step 518, Diff=4.46418e-05
Step 519, Diff=4.45764e-05
Step 520, Diff=4.45113e-05
Step 521, Diff=4.44464e-05
Step 522, Diff=4.43818e-05
Step 523, Diff=4.43173e-05
Step 524, Diff=4.42531e-05
Step 525, Diff=4.4189e-05
Step 526, Diff=4.41252e-05
Step 527, Diff=4.40616e-05
Step 528, Diff=4.39982e-05
Step 529, Diff=4.3935e-05
Step 530, Diff=4.38721e-05
Step 531, Diff=4.38093e-05
Step 532, Diff=4.37467e-05
Step 533, Diff=4.36844e-05
Step 534, Diff=4.36222e-05
Step 535, Diff=4.35603e-05
Step 536, Diff=4.34986e-05
Step 537, Diff=4.3437e-05
Step 538, Diff=4.33757e-05
Step 539, Diff=4.33145e-05
Step 540, Diff=4.32536e-05
Step 541, Diff=4.31929e-05
Step 542, Diff=4.31323e-05
Step 543, Diff=4.3072e-05
Step 544, Diff=4.30118e-05
Step 545, Diff=4.29518e-05
Step 546, Diff=4.28921e-05
Step 547, Diff=4.28325e-05
Step 548, Diff=4.27731e-05
Step 549, Diff=4.27139e-05
Step 550, Diff=4.26549e-05
Step 551, Diff=4.25961e-05
Step 552, Diff=4.25374e-05
Step 553, Diff=4.2479e-05
Step 554, Diff=4.24207e-05
Step 555, Diff=4.23627e-05
Step 556, Diff=4.23048e-05
Step 557, Diff=4.2247e-05
Step 558, Diff=4.21895e-05
Step 559, Diff=4.21322e-05
Step 560, Diff=4.2075e-05
Step 561, Diff=4.2018e-05
Step 562, Diff=4.19612e-05
Step 563, Diff=4.19045e-05
Step 564, Diff=4.18481e-05
Step 565, Diff=4.17918e-05
Step 566, Diff=4.17357e-05
Step 567, Diff=4.16797e-05
Step 568, Diff=4.1624e-05
Step 569, Diff=4.15684e-05
Step 570, Diff=4.1513e-05
Step 571, Diff=4.14577e-05
Step 572, Diff=4.14026e-05
Step 573, Diff=4.13477e-05
Step 574, Diff=4.1293e-05
Step 575, Diff=4.12384e-05
Step 576, Diff=4.1184e-05
Step 577, Diff=4.11297e-05
Step 578, Diff=4.10756e-05
Step 579, Diff=4.10217e-05
Step 580, Diff=4.09679e-05
Step 581, Diff=4.09143e-05
Step 582, Diff=4.08609e-05
Step 583, Diff=4.08076e-05
Step 584, Diff=4.07545e-05
Step 585, Diff=4.07016e-05
Step 586, Diff=4.06488e-05
Step 587, Diff=4.05961e-05
Step 588, Diff=4.05437e-05
Step 589, Diff=4.04913e-05
Step 590, Diff=4.04392e-05
Step 591, Diff=4.03872e-05
Step 592, Diff=4.03353e-05
Step 593, Diff=4.02836e-05
Step 594, Diff=4.0232e-05
Step 595, Diff=4.01806e-05
Step 596, Diff=4.01294e-05
Step 597, Diff=4.00783e-05
Step 598, Diff=4.00273e-05
Step 599, Diff=3.99765e-05
Step 600, Diff=3.99259e-05
Step 601, Diff=3.98754e-05
Step 602, Diff=3.9825e-05
Step 603, Diff=3.97748e-05
Step 604, Diff=3.97247e-05
Step 605, Diff=3.96748e-05
Step 606, Diff=3.9625e-05
Step 607, Diff=3.95754e-05
Step 608, Diff=3.95259e-05
Step 609, Diff=3.94766e-05
Step 610, Diff=3.94274e-05
Step 611, Diff=3.93783e-05
Step 612, Diff=3.93294e-05
Step 613, Diff=3.92806e-05
Step 614, Diff=3.9232e-05
Step 615, Diff=3.91835e-05
Step 616, Diff=3.91351e-05
Step 617, Diff=3.90869e-05
Step 618, Diff=3.90388e-05
Step 619, Diff=3.89908e-05
Step 620, Diff=3.8943e-05
Step 621, Diff=3.88953e-05
Step 622, Diff=3.88478e-05
Step 623, Diff=3.88003e-05
Step 624, Diff=3.87531e-05
Step 625, Diff=3.87059e-05
Step 626, Diff=3.86589e-05
Step 627, Diff=3.8612e-05
Step 628, Diff=3.85652e-05
Step 629, Diff=3.85186e-05
Step 630, Diff=3.84721e-05
Step 631, Diff=3.84258e-05
Step 632, Diff=3.83795e-05
Step 633, Diff=3.83334e-05
Step 634, Diff=3.82874e-05
Step 635, Diff=3.82416e-05
Step 636, Diff=3.81958e-05
Step 637, Diff=3.81502e-05
Step 638, Diff=3.81048e-05
Step 639, Diff=3.80594e-05
Step 640, Diff=3.80142e-05
Step 641, Diff=3.79691e-05
Step 642, Diff=3.79241e-05
Step 643, Diff=3.78792e-05
Step 644, Diff=3.78345e-05
Step 645, Diff=3.77899e-05
Step 646, Diff=3.77454e-05
Step 647, Diff=3.7701e-05
Step 648, Diff=3.76568e-05
Step 649, Diff=3.76126e-05
Step 650, Diff=3.75686e-05
Step 651, Diff=3.75247e-05
Step 652, Diff=3.74809e-05
Step 653, Diff=3.74373e-05
Step 654, Diff=3.73937e-05
Step 655, Diff=3.73503e-05
Step 656, Diff=3.7307e-05
Step 657, Diff=3.72638e-05
Step 658, Diff=3.72207e-05
Step 659, Diff=3.71778e-05
Step 660, Diff=3.71349e-05
Step 661, Diff=3.70922e-05
Step 662, Diff=3.70496e-05
Step 663, Diff=3.7007e-05
Step 664, Diff=3.69646e-05
Step 665, Diff=3.69224e-05
Step 666, Diff=3.68802e-05
Step 667, Diff=3.68381e-05
Step 668, Diff=3.67962e-05
Step 669, Diff=3.67543e-05
Step 670, Diff=3.67126e-05
Step 671, Diff=3.6671e-05
Step 672, Diff=3.66294e-05
Step 673, Diff=3.6588e-05
Step 674, Diff=3.65467e-05
Step 675, Diff=3.65055e-05
Step 676, Diff=3.64645e-05
Step 677, Diff=3.64235e-05
Step 678, Diff=3.63826e-05
Step 679, Diff=3.63418e-05
Step 680, Diff=3.63012e-05
Step 681, Diff=3.62606e-05
Step 682, Diff=3.62202e-05
Step 683, Diff=3.61798e-05
Step 684, Diff=3.61396e-05
Step 685, Diff=3.60994e-05
Step 686, Diff=3.60594e-05
Step 687, Diff=3.60194e-05
Step 688, Diff=3.59796e-05
Step 689, Diff=3.59399e-05
Step 690, Diff=3.59002e-05
Step 691, Diff=3.58607e-05
Step 692, Diff=3.58213e-05
Step 693, Diff=3.57819e-05
Step 694, Diff=3.57427e-05
Step 695, Diff=3.57036e-05
Step 696, Diff=3.56645e-05
Step 697, Diff=3.56256e-05
Step 698, Diff=3.55867e-05
Step 699, Diff=3.5548e-05
Step 700, Diff=3.55093e-05
Step 701, Diff=3.54708e-05
Step 702, Diff=3.54323e-05
Step 703, Diff=3.5394e-05
Step 704, Diff=3.53557e-05
Step 705, Diff=3.53176e-05
Step 706, Diff=3.52795e-05
Step 707, Diff=3.52415e-05
Step 708, Diff=3.52036e-05
Step 709, Diff=3.51658e-05
Step 710, Diff=3.51281e-05
Step 711, Diff=3.50905e-05
Step 712, Diff=3.5053e-05
Step 713, Diff=3.50156e-05
Step 714, Diff=3.49783e-05
Step 715, Diff=3.4941e-05
Step 716, Diff=3.49039e-05
Step 717, Diff=3.48668e-05
Step 718, Diff=3.48299e-05
Step 719, Diff=3.4793e-05
Step 720, Diff=3.47562e-05
Step 721, Diff=3.47195e-05
Step 722, Diff=3.46829e-05
Step 723, Diff=3.46464e-05
Step 724, Diff=3.461e-05
Step 725, Diff=3.45736e-05
Step 726, Diff=3.45374e-05
Step 727, Diff=3.45012e-05
Step 728, Diff=3.44652e-05
Step 729, Diff=3.44292e-05
Step 730, Diff=3.43933e-05
Step 731, Diff=3.43575e-05
Step 732, Diff=3.43217e-05
Step 733, Diff=3.42861e-05
Step 734, Diff=3.42505e-05
Step 735, Diff=3.4215e-05
Step 736, Diff=3.41796e-05
Step 737, Diff=3.41443e-05
Step 738, Diff=3.41091e-05
Step 739, Diff=3.4074e-05
Step 740, Diff=3.40389e-05
Step 741, Diff=3.4004e-05
Step 742, Diff=3.39691e-05
Step 743, Diff=3.39343e-05
Step 744, Diff=3.38995e-05
Step 745, Diff=3.38649e-05
Step 746, Diff=3.38303e-05
Step 747, Diff=3.37958e-05
Step 748, Diff=3.37614e-05
Step 749, Diff=3.37271e-05
Step 750, Diff=3.36929e-05
Step 751, Diff=3.36587e-05
Step 752, Diff=3.36246e-05
Step 753, Diff=3.35906e-05
Step 754, Diff=3.35567e-05
Step 755, Diff=3.35229e-05
Step 756, Diff=3.34891e-05
Step 757, Diff=3.34554e-05
Step 758, Diff=3.34218e-05
Step 759, Diff=3.33883e-05
Step 760, Diff=3.33548e-05
Step 761, Diff=3.33215e-05
Step 762, Diff=3.32882e-05
Step 763, Diff=3.32549e-05
Step 764, Diff=3.32218e-05
Step 765, Diff=3.31887e-05
Step 766, Diff=3.31557e-05
Step 767, Diff=3.31228e-05
Step 768, Diff=3.309e-05
Step 769, Diff=3.30572e-05
Step 770, Diff=3.30245e-05
Step 771, Diff=3.29919e-05
Step 772, Diff=3.29593e-05
Step 773, Diff=3.29269e-05
Step 774, Diff=3.28945e-05
Step 775, Diff=3.28621e-05
Step 776, Diff=3.28299e-05
Step 777, Diff=3.27977e-05
Step 778, Diff=3.27656e-05
Step 779, Diff=3.27336e-05
Step 780, Diff=3.27016e-05
Step 781, Diff=3.26697e-05
Step 782, Diff=3.26379e-05
Step 783, Diff=3.26062e-05
Step 784, Diff=3.25745e-05
Step 785, Diff=3.25429e-05
Step 786, Diff=3.25113e-05
Step 787, Diff=3.24799e-05
Step 788, Diff=3.24485e-05
Step 789, Diff=3.24172e-05
Step 790, Diff=3.23859e-05
Step 791, Diff=3.23547e-05
Step 792, Diff=3.23236e-05
Step 793, Diff=3.22925e-05
Step 794, Diff=3.22616e-05
Step 795, Diff=3.22307e-05
Step 796, Diff=3.21998e-05
Step 797, Diff=3.2169e-05
Step 798, Diff=3.21383e-05
Step 799, Diff=3.21077e-05
Step 800, Diff=3.20771e-05
Step 801, Diff=3.20466e-05
Step 802, Diff=3.20162e-05
Step 803, Diff=3.19858e-05
Step 804, Diff=3.19555e-05
Step 805, Diff=3.19253e-05
Step 806, Diff=3.18951e-05
Step 807, Diff=3.1865e-05
Step 808, Diff=3.18349e-05
Step 809, Diff=3.18049e-05
Step 810, Diff=3.1775e-05
Step 811, Diff=3.17452e-05
Step 812, Diff=3.17154e-05
Step 813, Diff=3.16857e-05
Step 814, Diff=3.1656e-05
Step 815, Diff=3.16264e-05
Step 816, Diff=3.15969e-05
Step 817, Diff=3.15674e-05
Step 818, Diff=3.1538e-05
Step 819, Diff=3.15087e-05
Step 820, Diff=3.14794e-05
Step 821, Diff=3.14502e-05
Step 822, Diff=3.14211e-05
Step 823, Diff=3.1392e-05
Step 824, Diff=3.13629e-05
Step 825, Diff=3.1334e-05
Step 826, Diff=3.13051e-05
Step 827, Diff=3.12762e-05
Step 828, Diff=3.12474e-05
